time,size,AtoB,AtoC,AtoD
0.0,818,2.6636e-2,2.6641203522e-2,5.8185203522e-2
0.2045,1154,2.7308e-2,2.7314705266e-2,6.1546705266e-2
0.493,770,2.654e-2,2.6549995147e-2,5.7709995147e-2
0.6855,818,2.6636e-2,2.6644171996e-2,5.8188171996e-2
0.89,914,2.6828e-2,2.6834569982e-2,5.9146569982e-2
1.1185,866,2.6732e-2,2.674179981e-2,5.866979981e-2
1.335,1154,4.4995922343e-2,4.500185458e-2,7.923385458e-2
1.6235,578,2.6156e-2,2.6157142788e-2,5.5781142788e-2
1.768,1010,2.702e-2,2.7028638148e-2,6.0108638148e-2
2.0205,914,2.6828e-2,2.6829385439e-2,5.9141385439e-2
2.249,1346,2.7692e-2,2.7701328111e-2,6.3469328111e-2
2.5855,290,2.558e-2,2.5583613597e-2,5.2903613597e-2
2.658,722,2.6444e-2,2.6448019413e-2,5.7224019413e-2
2.8385,482,2.5964e-2,2.5967322249e-2,5.4823322249e-2
2.959,1202,2.7404e-2,2.740531528e-2,6.202131528e-2
3.2595,1490,2.798e-2,2.7982071856e-2,6.4902071856e-2
3.632,1394,2.7788e-2,2.7791321911e-2,6.3943321911e-2
3.9805,1346,2.7692e-2,2.7693852607e-2,6.3461852607e-2
4.317,674,,,
4.4855,146,2.5292e-2,2.5299039102e-2,5.1467039102e-2
4.522,482,2.5964e-2,2.5970477937e-2,5.4826477937e-2
4.6425,578,2.6156e-2,2.615957943e-2,5.578357943e-2
4.787,1346,2.7692e-2,2.7700725489e-2,6.3468725489e-2
5.1235,1298,2.7596e-2,2.7598180247e-2,
5.448,1202,2.7404e-2,2.7407785463e-2,6.2023785463e-2
5.7485,866,3.8369374758e-2,3.8371566427e-2,7.0299566427e-2
5.965,50,2.51e-2,2.5105577154e-2,5.0505577154e-2
5.9775,530,2.606e-2,2.6067170126e-2,5.5307170126e-2
6.11,146,2.5292e-2,2.5296729871e-2,0.12546172824
6.1465,146,2.5292e-2,2.5300620192e-2,5.1468620192e-2
6.183,578,2.6156e-2,2.6160365987e-2,5.5784365987e-2
6.3275,434,2.5868e-2,2.5875906858e-2,5.4347906858e-2
6.436,1346,4.7496304465e-2,4.7504993544e-2,8.3272993544e-2
6.7725,146,2.5292e-2,2.5300301945e-2,5.1468301945e-2
6.809,914,2.6828e-2,2.6835416241e-2,
7.0375,1442,6.7687512394e-2,6.7690124866e-2,0.104226124866
7.398,434,2.5868e-2,2.5875330892e-2,5.4347330892e-2
7.5065,578,2.6156e-2,2.6162118521e-2,5.5786118521e-2
7.651,818,2.6636e-2,2.664539003e-2,5.818939003e-2
7.8555,1442,2.7884e-2,2.7888983068e-2,6.4424983068e-2
8.216,1106,2.7212e-2,2.7216750165e-2,6.1064750165e-2
8.4925,1202,2.7404e-2,2.7413069479e-2,6.2029069479e-2
8.793,1154,2.7308e-2,2.731164246e-2,6.154364246e-2
9.0815,1058,2.7116e-2,2.7123167646e-2,6.0587167646e-2
9.346,338,2.5676e-2,2.5684497892e-2,
9.4305,722,2.6444e-2,2.6445485482e-2,5.7221485482e-2
9.611,194,2.5388e-2,2.5395026395e-2,5.1947026395e-2
9.6595,98,2.5196e-2,2.5201582901e-2,5.0985582901e-2
9.684,1106,2.7212e-2,2.7218489945e-2,6.1066489945e-2
9.9605,818,2.6636e-2,2.6641168013e-2,5.8185168013e-2
10.165,914,2.6828e-2,2.6829343884e-2,5.9141343884e-2
10.3935,1346,6.1419493137e-2,6.1428470641e-2,9.7196470641e-2
10.73,674,2.6348e-2,2.635011044e-2,5.674211044e-2
10.8985,98,2.5196e-2,2.5197411961e-2,5.0981411961e-2
10.923,578,2.6156e-2,2.6164515356e-2,5.5788515356e-2
11.0675,338,2.5676e-2,2.5678927962e-2,5.3382927962e-2
11.152,1298,2.7596e-2,2.7597851779e-2,6.2981851779e-2
11.4765,194,2.5388e-2,2.5392062757e-2,5.1944062757e-2
11.525,1298,2.7596e-2,2.7605199018e-2,6.2989199018e-2
11.8495,1346,2.7692e-2,2.7695222824e-2,6.3463222824e-2
12.186,386,2.5772e-2,2.5780315818e-2,5.3868315818e-2
12.2825,242,2.5484e-2,2.5489651575e-2,5.2425651575e-2
12.343,482,2.5964e-2,2.5973830097e-2,
12.4635,1442,2.7884e-2,2.7885204694e-2,6.4421204694e-2
12.824,626,2.6252e-2,2.6259094855e-2,5.6267094855e-2
12.9805,146,2.5292e-2,2.529776786e-2,5.146576786e-2
13.017,674,2.6348e-2,2.6351312271e-2,5.6743312271e-2
13.1855,626,4.5030739497e-2,4.5037774851e-2,7.5045774851e-2
13.342,1490,2.798e-2,2.798402048e-2,6.490402048e-2
13.7145,1394,2.7788e-2,2.7793295046e-2,6.3945295046e-2
14.063,1346,2.7692e-2,2.7700895726e-2,0.146383628122
14.3995,1154,2.7308e-2,2.7313979498e-2,6.1545979498e-2
14.688,1250,2.75e-2,2.7506774193e-2,6.2506774193e-2
15.0005,914,2.6828e-2,2.6834096478e-2,5.9146096478e-2
15.229,50,2.51e-2,2.5105521678e-2,5.0505521678e-2
15.2415,194,5.0544319141e-2,5.0545412009e-2,7.7097412009e-2
15.29,434,2.5868e-2,2.587618718e-2,5.434818718e-2
15.3985,626,2.6252e-2,2.6261549782e-2,5.6269549782e-2
15.555,1394,2.7788e-2,2.7791068856e-2,6.3943068856e-2
15.9035,146,2.5292e-2,2.5296676825e-2,5.1464676825e-2
15.94,482,2.5964e-2,2.5973945349e-2,5.4829945349e-2
16.0605,290,2.558e-2,2.5588201676e-2,5.2908201676e-2
16.133,962,2.6924e-2,2.6929675137e-2,5.9625675137e-2
16.3735,914,2.6828e-2,2.6837441453e-2,5.9149441453e-2
16.602,914,2.6828e-2,2.6834088029e-2,5.9146088029e-2
16.8305,1442,2.7884e-2,2.788649541e-2,6.442249541e-2
17.191,434,2.5868e-2,2.5875136026e-2,5.4347136026e-2
17.2995,962,2.6924e-2,2.692979843e-2,5.962579843e-2
17.54,1250,2.75e-2,2.7509722139e-2,6.2509722139e-2
17.8525,674,2.6348e-2,2.6355694378e-2,5.6747694378e-2
18.021,770,2.654e-2,2.6544886977e-2,5.7704886977e-2
18.2135,434,2.5868e-2,2.5873202695e-2,5.4345202695e-2
18.322,914,2.6828e-2,2.6834147164e-2,5.9146147164e-2
18.5505,770,2.654e-2,2.6543898185e-2,5.7703898185e-2
18.743,1106,2.7212e-2,2.7215830457e-2,6.1063830457e-2
19.0195,770,2.654e-2,2.6542946911e-2,5.7702946911e-2
19.212,1490,5.0982816364e-2,5.0988165707e-2,8.7908165707e-2
19.5845,722,2.6444e-2,2.6451886454e-2,5.7227886454e-2
19.765,242,2.5484e-2,2.5485755713e-2,5.2421755713e-2
19.8255,674,2.6348e-2,2.6356551411e-2,5.6748551411e-2
19.994,530,4.6548450303e-2,4.6553352153e-2,7.5793352153e-2
20.1265,818,2.6636e-2,2.6641322561e-2,5.8185322561e-2
20.331,1298,2.7596e-2,2.7602504676e-2,6.2986504676e-2
20.6555,866,2.6732e-2,2.6736455732e-2,5.8664455732e-2
20.872,1154,2.7308e-2,2.7317627358e-2,6.1549627358e-2
21.1605,914,2.6828e-2,2.6836211758e-2,5.9148211758e-2
21.389,1490,2.798e-2,2.7985098979e-2,
21.7615,722,2.6444e-2,2.6445469482e-2,5.7221469482e-2
21.942,578,2.6156e-2,2.6162006897e-2,5.5786006897e-2
22.0865,98,2.5196e-2,2.5202287095e-2,5.0986287095e-2
22.111,962,4.4857681607e-2,4.4859307226e-2,7.7555307226e-2
22.3515,482,2.5964e-2,2.5968552202e-2,
22.472,1154,2.7308e-2,2.7317433129e-2,6.1549433129e-2
22.7605,770,2.654e-2,2.6541369477e-2,5.7701369477e-2
22.953,1154,2.7308e-2,2.7315390241e-2,6.1547390241e-2
23.2415,50,2.51e-2,2.5104580381e-2,5.0504580381e-2
23.254,98,2.5196e-2,2.5204457926e-2,5.0988457926e-2
23.2785,866,2.6732e-2,2.6734693289e-2,5.8662693289e-2
23.495,98,2.5196e-2,2.5200751384e-2,5.0984751384e-2
23.5195,626,2.6252e-2,2.6261710595e-2,5.6269710595e-2
23.676,1346,2.7692e-2,2.7700095797e-2,6.3468095797e-2
24.0125,1058,2.7116e-2,2.7120506558e-2,6.0584506558e-2
24.277,50,2.51e-2,2.510981757e-2,0.128800958066
24.2895,626,2.6252e-2,2.6257779401e-2,5.6265779401e-2
24.446,98,2.5196e-2,2.5203367325e-2,
24.4705,1490,2.798e-2,2.7984286571e-2,6.4904286571e-2
24.843,530,2.606e-2,2.6062898421e-2,5.5302898421e-2
24.9755,1010,2.702e-2,2.7026957237e-2,6.0106957237e-2
25.228,194,2.5388e-2,2.5395459916e-2,9.9115763197e-2
25.2765,1490,2.798e-2,2.7989350519e-2,6.4909350519e-2
25.649,338,2.5676e-2,2.5682528268e-2,5.3386528268e-2
25.7335,386,2.5772e-2,2.5776444574e-2,5.3864444574e-2
